Population and dwelling counts,"Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
K7N,8395,3411,3278
K7P,24660,9538,9324
K7R,15480,6845,6341
K7S,14265,6399,6180
K7V,13943,6881,6287
K8A,26392,11919,11283
K8B,490,176,174
K8H,16188,6342,5982
K8N,30393,13782,13244
K8P,23166,10592,10043
K8R,2012,791,768
K8V,28936,12523,12091
K9A,26757,11937,11491
K9H,29704,14391,13453
K9J,44547,19998,18885
K9K,13359,5226,5063
K9L,7813,3099,3000
K9V,29369,12949,12222
L0A,15325,5729,5494
L0B,15501,6072,5733
L0C,9486,3537,3381
L0E,21898,10072,8638
L0G,44945,15980,15514
L0H,1223,465,436
L0J,4945,1529,1456
L0K,38386,22207,15846
L0L,42022,19252,15670
L0M,37226,14086,13274
L0N,2395,894,829
L0P,7779,2777,2649
L0R,83602,29717,29066
L0S,60409,28128,24552
L1A,15845,7030,6777
L1B,13203,5280,5132
L1C,50217,18207,17719
L1E,28325,9806,9637
L1G,43497,19291,18541
L1H,32298,14480,13686
L1J,43107,17776,17154
L1K,43574,13824,13519
L1L,12976,3986,3766
L1M,22542,6992,6899
L1N,49649,19596,19117
L1P,22928,7132,6957
L1R,42221,13260,13098
L1S,42045,16037,15664
L1T,52632,15281,14986
L1V,52787,18257,17835
L1W,18433,7323,7091
L1X,24639,7516,7333
L1Y,1976,730,693
L1Z,31989,8957,8838
L2A,17293,7783,7277
L2E,18587,9017,8340
L2G,30344,13412,12531
L2H,29820,10594,10340
L2J,14908,6369,6206
L2M,33704,14869,14443
L2N,30719,13827,13244
L2P,15128,6706,6432
L2R,25558,13117,12003
L2S,19400,7837,7586
L2T,11401,5309,4876
L2V,19795,8400,7738
L2W,1959,686,677
L3B,25869,11617,11047
L3C,33462,14273,13870
L3K,19458,9086,8481
L3L,879,257,242
L3M,28433,11465,11237
L3P,37336,12978,12631
L3R,62060,21994,21099
L3S,55403,15734,14976
L3T,50405,20672,19869
L3V,48651,22293,20346
L3X,45284,14261,13946
L3Y,43556,17365,16709
L3Z,41072,13290,12821
L4A,50389,17366,16906
L4B,36080,13301,12878
L4C,74636,30129,28600
L4E,54606,17103,16620
L4G,62061,22255,21508
L4H,77353,22218,21863
L4J,75120,26995,26252
L4K,20172,8679,7764
L4L,55426,20428,19845
L4M,46902,19372,18401
L4N,100835,37801,36749
L4P,29861,11365,10817
L4R,19245,8901,8428
L4S,36688,11480,11212
L4T,38182,12302,11437
L4V,5,1,1
L4W,19744,7358,7150
L4X,18719,7074,6769
L4Y,23490,9118,8863
L4Z,37218,13241,12815
L5A,47406,18817,18132
L5B,67131,29048,27315
L5C,29284,10210,9880
L5E,12972,5539,5315
L5G,20714,9226,8719
L5H,17409,6541,6272
L5J,28208,10960,10655
L5K,13363,4732,4587
L5L,43585,15694,15207
L5M,106468,33246,32267
L5N,83700,27101,26553
L5R,37022,13438,12691
