FSA,Number of Returns,Total Income,Median Total Income,Average Total Income
J6J,19960,945236000,37884,47356
J6K,20260,932630000,36826,46033
J6N,13320,692656000,41600,52001
J6R,11630,663071000,45610,57013
J6S,20970,956412000,36486,45608
J6T,14880,660200000,35494,44368
J6V,11940,735209000,49260,61575
J6W,26250,1422590000,43354,54193
J6X,20750,1141273000,44000,55001
J6Y,17150,1080208000,50388,62985
J6Z,15750,1072599000,54480,68101
J7A,11830,906912000,61329,76662
J7B,10830,957511000,70729,88412
J7C,37690,2328681000,49428,61785
J7E,23840,1181425000,39644,49556
J7G,14200,811219000,45702,57128
J7H,6860,398655000,46489,58112
J7J,22120,1269924000,45928,57410
J7K,29400,1631813000,44402,55503
J7L,11080,637208000,46007,57509
J7M,18980,879107000,37053,46317
J7N,26100,1436754000,44038,55048
J7P,20860,1057401000,40552,50690
J7R,31160,1635711000,41994,52493
J7T,23430,1532870000,52338,65423
J7V,54990,3121018000,45404,56756
J7W,11800,649300000,44020,55025
J7X,4470,227135000,40650,50813
J7Y,22240,979077000,35218,44023
J7Z,25290,1031613000,32632,40791
J8A,8830,519889000,47101,58877
J8B,12070,651297000,43167,53959
J8C,9800,445627000,36377,45472
J8E,9290,556148000,47892,59865
J8G,6870,309134000,35997,44997
J8H,12300,512027000,33302,41628
J8L,16240,846064000,41677,52097
J8M,10130,533224000,42110,52638
J8N,10290,616672000,47943,59929
J8P,27350,1339581000,39183,48979
J8R,22620,1393072000,49268,61585
J8T,31990,1623730000,40605,50757
J8V,21420,1507801000,56313,70392
J8X,7570,343291000,36278,45348
J8Y,18100,846741000,37424,46781
J8Z,11500,685745000,47704,59630
J9A,16900,1152246000,54544,68180
J9B,6140,562698000,73315,91644
J9E,6430,234096000,29124,36406
J9H,24230,1464627000,48356,60446
J9J,28740,1990996000,55420,69276
J9L,12230,528401000,34564,43205
J9P,26730,1581474000,47331,59164
J9T,10670,560692000,42038,52548
J9V,2930,148790000,40624,50781
J9X,19100,999660000,41870,52338
J9Y,8590,542298000,50504,63131
J9Z,6270,311010000,39681,49602
Total,6908640,370116909000,42858,53573
K0A,88690,6170147000,55655,69569
K0B,17640,924170000,41912,52390
K0C,43710,2336754000,42768,53460
K0E,32290,1703925000,42215,52769
K0G,32470,1943022000,47872,59840
K0H,37220,2157369000,46369,57962
K0J,28740,1449135000,40337,50422
K0K,95420,4970717000,41674,52093
K0L,62870,3297790000,41963,52454
K0M,43700,2355303000,43117,53897
K1A,70,8624000,98560,123200
K1B,13580,778541000,45863,57329
K1C,30350,2110986000,55643,69554
K1E,12160,771724000,50771,63464
K1G,27830,1587675000,45639,57049
K1H,13040,1117003000,68527,85659
K1J,22120,1414438000,51154,63943
K1K,25810,1412822000,43791,54739
K1L,13820,759095000,43941,54927
K1M,5390,739291000,109727,137159
K1N,21210,1338992000,50504,63130
K1P,720,1060115000,1177904,1472381
K1R,14810,1024289000,55328,69161
K1S,24300,2449162000,80630,100788
K1T,30930,1772667000,45849,57312
K1V,43720,2657329000,48624,60780
K1W,10720,808806000,60358,75448
K1X,3370,229344000,54443,68054
K1Y,16050,1575412000,78524,98156
K1Z,17360,1159791000,53446,66808
K2A,13790,1331999000,77272,96591
K2B,26000,1360537000,41862,52328
K2C,22650,1381979000,48811,61014
K2E,15970,978871000,49035,61294
K2G,40470,2641027000,52206,65258
K2H,21320,1526293000,57271,71589
K2J,62300,4069619000,52257,65322
K2K,20030,1582867000,63219,79024
K2L,14950,935561000,50063,62579
K2M,22420,1627757000,58081,72602
K2P,14130,1019851000,57740,72176
K2R,1030,149041000,115760,144700
K2S,30350,2399135000,63238,79048
K2T,9220,732627000,63568,79460
K2V,7330,508694000,55518,69398
K2W,6480,569125000,70261,87827
K4A,48150,3367685000,55952,69941
K4B,3880,296118000,61055,76319
K4C,3710,311426000,67153,83942
K4K,13650,844143000,49472,61841
K4M,11890,1160004000,78048,97561
K4P,8290,694496000,67020,83775
K4R,6890,475527000,55212,69016
K6A,10950,480898000,35133,43917
K6H,26040,1087000000,33394,41743
K6J,14380,601258000,33449,41812
K6K,2740,138773000,40517,50647
K6T,550,31632000,46009,57512
K6V,23480,1229802000,41900,52376
K7A,13990,686266000,39243,49054
K7C,16130,996211000,49408,61761
K7G,7310,422845000,46275,57844
K7H,13600,820091000,48240,60300
K7K,24810,1261292000,40670,50838
K7L,14350,1133075000,63167,78959
K7M,39050,2158293000,44215,55269
K7N,6400,344062000,43007,53759
K7P,19670,1255757000,51072,63841
K7R,12230,610656000,39944,49930
K7S,11610,630378000,43436,54296
K7V,11470,556425000,38808,48511
K8A,21740,1103039000,40589,50737
K8B,400,27829000,55657,69572
K8H,11340,730475000,51532,64415
K8N,26160,1480272000,45268,56585
K8P,18520,795791000,34375,42969
K8R,1550,85554000,44156,55196
K8V,23020,1126308000,39141,48927
K9A,22760,1356588000,47683,59604
K9H,22870,1076422000,37652,47066
K9J,35640,1799953000,40402,50503
K9K,11340,681546000,48080,60101
K9L,6410,358130000,44696,55870
K9V,23660,1150565000,38903,48629
L0A,11970,774653000,51772,64716
L0B,12810,886162000,55341,69177
